s,h,jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size
0.082,0.1,1.1389311848547059e-08,1.4236639525607608e-09,1.1389312760790961e-08,0.001940494091320133,0,8192
0.082,0.1,1.360241203663263e-08,1.7003014402472151e-09,1.3602414095252372e-08,0.003143090884625721,1,8192
0.082,0.1,1.0994353024208803e-08,1.3742941044342947e-09,1.0994353779146596e-08,0.0017326938128778835,2,8192
0.082,0.1,1.1601688243249211e-08,1.450210965680946e-09,1.1601690314455913e-08,0.0032978674419528176,3,8192
0.082,0.1,1.1228968373690775e-08,1.4036210120758837e-09,1.1228969482025623e-08,0.0023530058128287124,4,8192
0.082,0.1,1.6852267071542977e-08,2.1065331811183873e-09,1.6852273561927175e-08,0.004124902958452026,5,8192
0.082,0.1,1.5695689577271496e-08,1.96196105593025e-09,1.5695694096589793e-08,0.003555951887262765,6,8192
0.082,0.1,1.4111344381738683e-08,1.7639179649371574e-09,1.4111347030704496e-08,0.0027890094475129246,7,8192
0.082,0.1,1.2821160941018692e-08,1.6026450260054168e-09,1.2821163872920278e-08,0.0028812220079181827,8,8192
0.082,0.1,1.2577416984543781e-08,1.5721770851938196e-09,1.2577418196516703e-08,0.002223240976487517,9,8192
0.082,0.1,1.248015858725867e-08,1.5600197786460137e-09,1.2480160019620942e-08,0.002198588091331999,10,8192
0.082,0.1,1.2172240733529717e-08,1.5215300472454555e-09,1.2172242155794051e-08,0.0022932563928783622,11,8192
0.082,0.1,1.1612914319979258e-08,1.4516142456315817e-09,1.1612915739685728e-08,0.0027285535819530082,12,8192
0.082,0.1,1.4550834754789323e-08,1.818854251636786e-09,1.455083772156964e-08,0.0034220563413374094,13,8192
0.082,0.1,1.4873762360915322e-08,1.8592201808805186e-09,1.4873766016400255e-08,0.003428212791034113,14,8192
0.082,0.1,1.3548643250194516e-08,1.6935803483314447e-09,1.3548645104366414e-08,0.0028067883811484506,15,8192
0.082,0.1,1.2367400296777888e-08,1.5459249712081765e-09,1.2367402405227914e-08,0.003205935275389038,16,8192
0.082,0.1,1.5506688008090827e-08,1.9383359091505686e-09,1.550669094763611e-08,0.0033200371957118335,17,8192
0.082,0.1,1.2108905204221123e-08,1.5136130988982923e-09,1.2108906856360338e-08,0.002965568070486313,18,8192
0.082,0.1,1.4599460816487511e-08,1.824932441055387e-09,1.459946596866568e-08,0.003922828400327205,19,8192
0.082,0.1,1.3245508829042365e-08,1.6556884963454429e-09,1.324551226215793e-08,0.003489246149921854,20,8192
0.082,0.1,1.5527230428663504e-08,1.9409036709336104e-09,1.5527234673442252e-08,0.003481017992536195,21,8192
0.082,0.1,1.633987302347608e-08,2.0424837702778775e-09,1.6339884468490855e-08,0.005540656266733279,22,8192
0.082,0.1,1.4904744481903422e-08,1.8630929233884455e-09,1.4904748861087202e-08,0.0036055714730327537,23,8192
0.082,0.1,1.06455528271274e-08,1.3306940690616254e-09,1.0645553925665019e-08,0.0025503461703362262,24,8192
0.082,0.1,1.329349623414349e-08,1.6616869562502132e-09,1.3293498570710754e-08,0.003242878596330101,25,8192
0.082,0.1,1.6178476209382436e-08,2.0223094247965177e-09,1.6178479453423743e-08,0.002789444782060002,26,8192
0.082,0.1,1.8385104331924557e-08,2.298137862679632e-09,1.8385110053875032e-08,0.00377985646140111,27,8192
0.082,0.1,1.0725504323226115e-08,1.34068801640678e-09,1.0725505091113634e-08,0.0017510590221014866,28,8192
0.082,0.1,1.1876791460245537e-08,1.4845988826767722e-09,1.1876793055571035e-08,0.002596866217123406,29,8192
0.082,0.1,1.4313179964568278e-08,1.7891474167730657e-09,1.4313182486103403e-08,0.002689823902615629,30,8192
0.082,0.1,1.3520577151339284e-08,1.6900720860814963e-09,1.3520579002088618e-08,0.0029393896017531063,31,8192
0.082,0.15,2.5276662330759193e-08,3.1595826482220613e-09,2.5276666910690188e-08,0.0029683441945014266,0,8192
0.082,0.15,3.0441721982026556e-08,3.805214935564748e-09,3.0441731972061865e-08,0.004558299126749432,1,8192
0.082,0.15,2.4333183141603963e-08,3.0416477793903697e-09,2.4333186767528096e-08,0.0025216006759318788,2,8192
0.082,0.15,2.6635101901165955e-08,3.329387377327479e-09,2.6635113431352167e-08,0.005088157443474017,3,8192
0.082,0.15,2.5107183272131033e-08,3.1383977282947724e-09,2.5107189055222838e-08,0.0037544629351273784,4,8192
0.082,0.15,3.7481483048425875e-08,4.685184364364883e-09,3.748151558246106e-08,0.0062243360489588895,5,8192
0.082,0.15,3.532933504666491e-08,4.416166038995514e-09,3.5329361985473545e-08,0.005969915569382422,6,8192
0.082,0.15,3.170280328473818e-08,3.962849979763813e-09,3.1702817071250334e-08,0.00430246816255675,7,8192
0.082,0.15,2.8459776306949417e-08,3.5574715940960764e-09,2.8459790523674368e-08,0.004226386134483562,8,8192
0.082,0.15,2.800460821217205e-08,3.5005758441678413e-09,2.8004614047489618e-08,0.003305897451364004,9,8192
0.082,0.15,2.7588009824180056e-08,3.448501004440261e-09,2.7588016978812355e-08,0.003386942870049481,10,8192
0.082,0.15,2.6806807549376164e-08,3.3508507366927423e-09,2.6806814172713416e-08,0.0033348427123698343,11,8192
0.082,0.15,2.5741931896711722e-08,3.2177412720084923e-09,2.5741938779287427e-08,0.004096822693810509,12,8192
0.082,0.15,3.345804093963812e-08,4.1822545495631724e-09,3.345805911217217e-08,0.005562686144068962,13,8192
0.082,0.15,3.328250730149969e-08,4.1603128336824464e-09,3.32825258296629e-08,0.00524320793338795,14,8192
0.082,0.15,3.0169364244581155e-08,3.771170241383144e-09,3.0169373498645914e-08,0.004203963754733309,15,8192
0.082,0.15,2.7734591410758723e-08,3.466823594771549e-09,2.7734602021105376e-08,0.004806659262248658,16,8192
0.082,0.15,3.485221266475628e-08,4.35652612464652e-09,3.485222733509449e-08,0.004838272754833284,17,8192
0.082,0.15,2.6681713113751047e-08,3.3352139084570773e-09,2.6681720498129393e-08,0.004216781494772448,18,8192
0.082,0.15,3.277466858972955e-08,4.0968327011783955e-09,3.277469651094576e-08,0.0058643495473766905,19,8192
0.082,0.15,2.996711271480599e-08,3.745888530292396e-09,2.996713060467653e-08,0.0051451332526255555,20,8192
0.082,0.15,3.511645569809066e-08,4.389556248815972e-09,3.5116478528345796e-08,0.005399856648750756,21,8192
0.082,0.15,3.630881239462379e-08,4.538599947760332e-09,3.6308863644811504e-08,0.007990158335344333,22,8192
0.082,0.15,3.30530270551079e-08,4.1316277433490425e-09,3.30530474883736e-08,0.005290885500016884,23,8192
0.082,0.15,2.4063657327662714e-08,3.007956978185965e-09,2.4063663336363104e-08,0.00392390831870415,24,8192
0.082,0.15,3.025487205633988e-08,3.781858595344025e-09,3.025488523069245e-08,0.004950297414774596,25,8192
0.082,0.15,3.634005329231426e-08,4.542506135568883e-09,3.63400701233687e-08,0.0042563819484797705,26,8192
0.082,0.15,4.1317014936462735e-08,5.164625929891968e-09,4.131704492577611e-08,0.005754653031230461,27,8192
0.082,0.15,2.3667553810525186e-08,2.958444108754345e-09,2.3667557572487022e-08,0.002739486341369002,28,8192
0.082,0.15,2.6440923390424614e-08,3.3051151777544547e-09,2.644093126398106e-08,0.0037292214199862173,29,8192
0.082,0.15,3.217838331375568e-08,4.022297507941746e-09,3.217839631464379e-08,0.004090366601399609,30,8192
0.082,0.15,3.0311781677978664e-08,3.788972438560435e-09,3.0311790355960097e-08,0.004239087589862578,31,8192
0.082,0.2,4.423164771187069e-08,5.52895551545495e-09,4.4231662064796095e-08,0.004014707443952048,0,8192
0.082,0.2,5.371984598783745e-08,6.714979800589987e-09,5.3719876320312624e-08,0.0058367036182929155,1,8192
0.082,0.2,4.248203959096499e-08,5.310254608585707e-09,4.248205048008293e-08,0.0032628660672866516,2,8192
0.082,0.2,4.813871948711287e-08,6.017338704917667e-09,4.813875887820994e-08,0.006940161379066723,3,8192
0.082,0.2,4.4271179902647953e-08,5.533896896264726e-09,4.427119883277111e-08,0.005274807956507033,4,8192
0.082,0.2,6.565540598507543e-08,8.206922615732403e-09,6.565550622198395e-08,0.008304538549325002,5,8192
0.082,0.2,6.276194499712774e-08,7.845239957740948e-09,6.27620463379748e-08,0.008745722495875796,6,8192
0.082,0.2,5.613534831780339e-08,7.016917154637023e-09,5.613539264064069e-08,0.0058682528790861,7,8192
0.082,0.2,4.9854292284950133e-08,6.231785208387812e-09,4.985433475634947e-08,0.005600386009627201,8,8192
0.082,0.2,4.9157940919335776e-08,6.144742064044949e-09,4.9157958547242076e-08,0.004348670495518903,9,8192
0.082,0.2,4.8055354710095635e-08,6.006918643850526e-09,4.805537694726379e-08,0.004613173997148223,10,8192
0.082,0.2,4.653562559374699e-08,5.816952596825695e-09,4.65356448703145e-08,0.004281775076398375,11,8192
0.082,0.2,4.495464713928665e-08,5.619330246770853e-09,4.4954667799768976e-08,0.005440880545290128,12,8192
0.082,0.2,6.064380039950816e-08,7.580472889235517e-09,6.064386954202947e-08,0.007954853375780502,13,8192
0.082,0.2,5.8685519689161467e-08,7.335688140723551e-09,5.868557794266956e-08,0.007089867089646873,14,8192
0.082,0.2,5.2866170835223455e-08,6.608270463520319e-09,5.286619934347116e-08,0.005568472913358491,15,8192
0.082,0.2,4.900393670697642e-08,6.12549106102966e-09,4.9003969581940196e-08,0.006370831610865935,16,8192
0.082,0.2,6.166091974439467e-08,7.70761354522228e-09,6.166096527486937e-08,0.006231504854367742,17,8192
0.082,0.2,4.6363028787773244e-08,5.795377955280131e-09,4.6363049369904683e-08,0.005302296000266438,18,8192
0.082,0.2,5.80605432510494e-08,7.2575648820791575e-09,5.806064002876002e-08,0.0084732949296491,19,8192
0.082,0.2,5.3326334667575e-08,6.66579002726799e-09,5.33263924653184e-08,0.007107681117407338,20,8192
0.082,0.2,6.255531094939556e-08,7.819411500821161e-09,6.255538672072344e-08,0.007398431533051308,21,8192
0.082,0.2,6.336762476157692e-08,7.92094872725137e-09,6.336776453594028e-08,0.010153749922148236,22,8192
0.082,0.2,5.7708218766185995e-08,7.213525500979779e-09,5.770827779959328e-08,0.006866140498029694,23,8192
0.082,0.2,4.2924824055835564e-08,5.365602365439309e-09,4.2924844585122874e-08,0.005338027384057753,24,8192
0.082,0.2,5.430282843025398e-08,6.787852119186775e-09,5.430287433730506e-08,0.006676872972828818,25,8192
0.082,0.2,6.427052270340736e-08,8.033813649743986e-09,6.427057672523901e-08,0.0057381591344096705,26,8192
0.082,0.2,7.299134602244172e-08,9.123915240868065e-09,7.299144240446233e-08,0.007740032456219126,27,8192
0.082,0.2,4.139838151899803e-08,5.174797326252671e-09,4.1398393154905386e-08,0.0037852598844292373,28,8192
0.082,0.2,4.640033598874765e-08,5.800041236115565e-09,4.640036038804321e-08,0.004720498508865134,29,8192
0.082,0.2,5.695954439684855e-08,7.119941752755708e-09,5.6959585896067306e-08,0.00549890386215246,30,8192
0.082,0.2,5.357843005901291e-08,6.69730296710437e-09,5.357845534772804e-08,0.005395582743846106,31,8192
0.082,0.25,6.789469111083751e-08,8.486835302489966e-09,6.78947258745126e-08,0.005063977010987486,0,8192
0.082,0.25,8.31536423852588e-08,1.0394203063263083e-08,8.315371390189222e-08,0.006956304217402121,1,8192
0.082,0.25,6.509062871542664e-08,8.13632779809299e-09,6.509065403815942e-08,0.0039468479430002645,2,8192
0.082,0.25,7.615922755860621e-08,9.519900252667122e-09,7.615932970772928e-08,0.008827023168423764,3,8192
0.082,0.25,6.847124740499552e-08,8.558904426084631e-09,6.847129539028077e-08,0.006888340225563283,4,8192
0.082,0.25,1.0075578444787242e-07,1.2594465712937804e-08,1.0075601942551038e-07,0.010334142217267583,5,8192
0.082,0.25,9.785771050792407e-08,1.2232204616490751e-08,9.785800481217835e-08,0.011829188780335897,6,8192
0.082,0.25,8.71225284156855e-08,1.0890312652491542e-08,8.712263719873156e-08,0.007463391501687511,7,8192
0.082,0.25,7.666973351889362e-08,9.583713667990845e-09,7.666983021879094e-08,0.006982612235926666,8,8192
0.082,0.25,7.566976243116918e-08,9.458719011964589e-09,7.566980377298477e-08,0.005336424768376702,9,8192
0.082,0.25,7.338047203724105e-08,9.172557344273719e-09,7.338052516945575e-08,0.00585868598156658,10,8192
0.082,0.25,7.085508027190714e-08,8.856883674631367e-09,7.08551237713381e-08,0.0052519157353323465,11,8192
0.082,0.25,6.882139604728504e-08,8.602673020074975e-09,6.882144359403678e-08,0.00674187408154836,12,8192
0.082,0.25,9.634370056550162e-08,1.2042956290909527e-08,9.63439015185386e-08,0.010567362896232169,13,8192
0.082,0.25,9.069376240184458e-08,1.1336715910431015e-08,9.069390287549138e-08,0.0089401631823538,14,8192
0.082,0.25,8.109313346429489e-08,1.0136639588050166e-08,8.109320050388391e-08,0.0068790650878121085,15,8192
0.082,0.25,7.588464015384375e-08,9.485577592768778e-09,7.588471780064361e-08,0.007873969731202024,16,8192
0.082,0.25,9.551767317664648e-08,1.1939705748605136e-08,9.551778192790061e-08,0.007479205863294425,17,8192
0.082,0.25,7.068358447874262e-08,8.835446672534175e-09,7.068362887262713e-08,0.006218548901896881,18,8192
0.082,0.25,9.027854850944247e-08,1.1284810320850999e-08,9.027881228020614e-08,0.011356653796463334,19,8192
0.082,0.25,8.300970030182472e-08,1.0376208067832403e-08,8.300984333856177e-08,0.009133241467296216,20,8192
0.082,0.25,9.761820500891759e-08,1.2202269631100466e-08,9.761839684946764e-08,0.009446061924908378,21,8192
0.082,0.25,9.664398668099512e-08,1.2080489346289864e-08,9.664427432397662e-08,0.011984925296248505,22,8192
0.082,0.25,8.825543556149361e-08,1.1031925355203255e-08,8.825556644101578e-08,0.008311644777974081,23,8192
0.082,0.25,6.719608100137118e-08,8.399508435892012e-09,6.719613505832461e-08,0.006771595504195815,24,8192
0.082,0.25,8.54760541730883e-08,1.0684502957567052e-08,8.54761762233477e-08,0.008394937096365851,25,8192
0.082,0.25,9.956215828584796e-08,1.244526564376721e-08,9.956229082872724e-08,0.007210351684440397,26,8192
0.082,0.25,1.1275567187550244e-07,1.4094451637822204e-08,1.1275590696732389e-07,0.009703402228753433,27,8192
0.082,0.25,6.386307709830921e-08,7.982883756316544e-09,6.386310528941942e-08,0.004873526511397941,28,8192
0.082,0.25,7.140159738007338e-08,8.92519783682081e-09,7.14016561221125e-08,0.006115453636891033,29,8192
0.082,0.25,8.830017677689679e-08,1.1037518927311912e-08,8.830027821053053e-08,0.006891808648772368,30,8192
0.082,0.25,8.305228297581328e-08,1.0381533590634129e-08,8.305233997878447e-08,0.00638904855692779,31,8192
0.082,0.35,1.2771597387224103e-07,1.5964492610098063e-08,1.2771610583809795e-07,0.007107658587372612,0,8192
0.082,0.35,1.5902196922829634e-07,1.9877737938127552e-08,1.5902223212151154e-07,0.008644113281430776,1,8192
0.082,0.35,1.222159175797499e-07,1.5276986914996125e-08,1.2221600661888614e-07,0.005075796840049662,2,8192
0.082,0.35,1.5099313226532998e-07,1.887412842120268e-08,1.509935518485508e-07,0.01259051317993709,3,8192
0.082,0.35,1.3063251642484848e-07,1.6329058364560332e-08,1.306327144584252e-07,0.010286306013538749,4,8192
0.082,0.35,1.886803013814971e-07,2.3585012763640317e-08,1.8868109847198167e-07,0.014125772891155464,5,8192
0.082,0.35,1.8999348490329722e-07,2.3749137342244702e-08,1.899950295684361e-07,0.018682253458980114,6,8192
0.082,0.35,1.6693012696587035e-07,2.0866253174475073e-08,1.6693053324640189e-07,0.010641142793911484,7,8192
0.082,0.35,1.451207581213016e-07,1.8140084959922318e-08,1.4512107188916186e-07,0.009571837299571229,8,8192
0.082,0.35,1.4295325162429534e-07,1.786915182255828e-08,1.429533997996513e-07,0.007472203902102237,9,8192
0.082,0.35,1.363668157208642e-07,1.7045845980273886e-08,1.363670072356265e-07,0.008325362190239716,10,8192
0.082,0.35,1.3122632102677936e-07,1.6403285584170698e-08,1.312264664404748e-07,0.0078020195557080285,11,8192
0.082,0.35,1.2864696847169202e-07,1.6080866099926853e-08,1.286471271608656e-07,0.009145945518422849,12,8192
0.082,0.35,1.9331683188302293e-07,2.4164571419658375e-08,1.933178739878228e-07,0.016309749215531966,13,8192
0.082,0.35,1.723954761220261e-07,2.1549418434618664e-08,1.723959907027745e-07,0.012537538896424394,14,8192
0.082,0.35,1.5135996150765206e-07,1.8919987995838007e-08,1.5136019167153704e-07,0.009256619442371772,15,8192
0.082,0.35,1.448578769445642e-07,1.8107226209009235e-08,1.4485814603468419e-07,0.010609145965696953,16,8192
0.082,0.35,1.8188498293235686e-07,2.2735610521754406e-08,1.8188537796586877e-07,0.010527796682758606,17,8192
0.082,0.35,1.3129811722641253e-07,1.641226043047524e-08,1.312982523568892e-07,0.007545442924740797,18,8192
0.082,0.35,1.7443849794323526e-07,2.18047719717746e-08,1.7443978662226146e-07,0.01778573725965238,19,8192
0.082,0.35,1.5912548178191127e-07,1.989066810592903e-08,1.5912602952041457e-07,0.013229733589650294,20,8192
0.082,0.35,1.8886301188332161e-07,2.360785268275402e-08,1.8886377356926627e-07,0.013564022007654941,21,8192
0.082,0.35,1.7764376144672775e-07,2.2205447069593653e-08,1.7764450100761013e-07,0.014505584900007307,22,8192
0.082,0.35,1.6419178577034738e-07,2.0523960420199042e-08,1.641921954056348e-07,0.010751174550106768,23,8192
0.082,0.35,1.3145870362069676e-07,1.643233053514478e-08,1.3145894097898078e-07,0.009605546401967757,24,8192
0.082,0.35,1.687214946355917e-07,2.109017017997452e-08,1.6872202741924545e-07,0.01170237036895827,25,8192
0.082,0.35,1.8990894328860659e-07,2.373860241371653e-08,1.899094392043859e-07,0.0100336965532275,26,8192
0.082,0.35,2.127503476660815e-07,2.6593766712488697e-08,2.1275120353162646e-07,0.013446040274761373,27,8192
0.082,0.35,1.2326345591358326e-07,1.5407928268449416e-08,1.2326357497756215e-07,0.007113693894584827,28,8192
0.082,0.35,1.3483513739709743e-07,1.68543852376082e-08,1.348353593821197e-07,0.009326716607606755,29,8192
0.082,0.35,1.6852592326120595e-07,2.1065728537955086e-08,1.6852630309166937e-07,0.009532330530893418,30,8192
0.082,0.35,1.5909010458587182e-07,1.988625704342791e-08,1.5909029753971912e-07,0.007820981580868747,31,8192
0.082,0.45,2.0118436759389015e-07,2.514803472666051e-08,2.0118472671646128e-07,0.008973513817506884,0,8192
0.082,0.45,2.544940585657382e-07,3.1811734941746525e-08,2.5449477469334713e-07,0.012140267900090151,1,8192
0.082,0.45,1.9270922963736468e-07,2.408864667000437e-08,1.9270945474673508e-07,0.006509508930538033,2,8192
0.082,0.45,2.475554931136247e-07,3.094440102552809e-08,2.4755663275294197e-07,0.016140930823674182,3,8192
0.082,0.45,2.0820344657421124e-07,2.6025413049627322e-08,2.082040152835962e-07,0.013727008912363559,4,8192
0.082,0.45,2.9428593498797975e-07,3.678568486875014e-08,2.9428775914322024e-07,0.01739201368812715,5,8192
0.082,0.45,3.0846512189896167e-07,3.855797319034134e-08,3.0847046743086333e-07,0.026036736110446768,6,8192
0.082,0.45,2.660344302968659e-07,3.325427184954896e-08,2.6603545229979274e-07,0.013623899610241352,7,8192
0.082,0.45,2.3077706023672737e-07,2.8847109725050887e-08,2.307777899825583e-07,0.011785834822239494,8,8192
0.082,0.45,2.2559794507964933e-07,2.8199731302759196e-08,2.2559832371011644e-07,0.00968975881038503,9,8192
0.082,0.45,2.1184755475472425e-07,2.6480929550979214e-08,2.118480281425686e-07,0.010613252771349835,10,8192
0.082,0.45,2.040637164477348e-07,2.5507953455415113e-08,2.0406407166556338e-07,0.010332879771237202,11,8192
0.082,0.45,2.014435522814051e-07,2.5180432637791176e-08,2.0144391699792297e-07,0.011186624856712513,12,8192
0.082,0.45,3.221261641067001e-07,4.026565931542064e-08,3.2212972245199116e-07,0.022469413367019797,13,8192
0.082,0.45,2.7310707822225565e-07,3.4138344108295884e-08,2.7310837964757393e-07,0.01581012887582034,14,8192
0.082,0.45,2.3456495277919188e-07,2.9320602418118532e-08,2.3456548651648617e-07,0.011184327718849474,15,8192
0.082,0.45,2.3061292124344564e-07,2.8826595298361804e-08,2.3061355667018854e-07,0.012859817429314191,16,8192
0.082,0.45,2.874769449929092e-07,3.593458689620273e-08,2.87477944287011e-07,0.013900698067617512,17,8192
0.082,0.45,2.0460524530178777e-07,2.557564624591148e-08,2.046055466398738e-07,0.008227169959058145,18,8192
0.082,0.45,2.821991998886401e-07,3.5274762948053266e-08,2.8220358512563395e-07,0.024788926767262964,19,8192
0.082,0.45,2.5216946008809303e-07,3.152113800496588e-08,2.52170884284129e-07,0.017166068219200525,20,8192
0.082,0.45,3.036800924242398e-07,3.7959947897154564e-08,3.036821294157976e-07,0.017508109701566354,21,8192
0.082,0.45,2.7046865619924746e-07,3.380854165317552e-08,2.7046994809641525e-07,0.015363637156093901,22,8192
0.082,0.45,2.548462692867986e-07,3.1855755167954724e-08,2.5484718106027156e-07,0.012515277744014952,23,8192
0.082,0.45,2.1488322114264642e-07,2.6860380334985178e-08,2.148839349944342e-07,0.012729620233670857,24,8192
0.082,0.45,2.7751392651092424e-07,3.468919219856945e-08,2.775154822027543e-07,0.015213247301932853,25,8192
0.082,0.45,3.01603489544427e-07,3.7700397137150136e-08,3.0160473933446233e-07,0.012557743977922087,26,8192
0.082,0.45,3.3185623051996175e-07,4.14819640791846e-08,3.318583020691331e-07,0.016777054618673404,27,8192
0.082,0.45,2.0298433746876864e-07,2.537302788161476e-08,2.02984795132461e-07,0.011184213970128809,28,8192
0.082,0.45,2.129232370606512e-07,2.6615385999106444e-08,2.1292383333233455e-07,0.012680094931027952,29,8192
0.082,0.45,2.674026431113827e-07,3.342529999091909e-08,2.6740361584833225e-07,0.0118807531368752,30,8192
0.082,0.45,2.544033112903315e-07,3.180039810733142e-08,2.544038170172903e-07,0.010441499386921294,31,8192
